,score,clean_review,label
0,1,pt kai yg terhormat tolong aplikasi ini ditinjau ulang karena saya mau pindah kursi tidak bisa padahal dulu waktu awal nya muncul apk ini untuk pindah kursi msh bisa setelah sering diupdate kok malah tidak bs pilih kursi sendiri mohon dicarikan solusinya,0
1,1,loading nya lelet padahal jaringannya g sblm di perbarui ga stlh di pembaruan kok lelet ya malh ga bisa kebuka knp kecewa sekali pengen dapat promo malah aplikasinya lelet cek koneksi aja padahal jaringannya g lho gimana jaringannya jelek banget ga bisa di buka padahal sudah g,0
2,1,mohon cek koneksi anda harusnya diubah menjadi mohon upgrade kapasitas server kai flash deal tinggal klik pesan kok gak bisa sampe expired padahal koneksi wifi rumah dan flash deal bl saya selalu dapet yah namanya punya pemerintah alangkah lebih baik flash deal diserahkan ke e commerce lain,0
3,1,sebelum tgl oktober aplikasi kai ini baik saja sangat bermanfaat membantu mempermudah pemesanan tiket kreta tapi sekarang bahkan setelah di update aplikasinya malah muter doank alias loading saat pilih stasiun pun not responding jadi kecewa sama aplikasi kai saat ini smoga segera di perbaiki dan normal kembali aplikasi kainya,0
4,1,aplikasinya di hp saya ngebug apa gimana ya saya mau reschedule tapi di my trips ga keluar kode booking saya ya tolong segera diperbaiki bug nya secepatnya udh di refresh tetep aja ga mau keluar yg local train maupun intercity train tanggapan secepatnya ini saya mau coba di uninstal trus instal lagi nanti kalo ga bisa berarti ada bugnya aplikasinya tanggapannya secepatnya,0
5,1,tambahkan fitur return pulang pergi dalam kali booking supaya bisa langsung memprediksi dan menghemat dan fitur ketersediaan kursi juga sangat penting tambahkan tombol kembali sesaat setelah mengisi data penumpang dan memilih tempat duduk seat jika dirasa ada yang kurang atau perubahan agar tidak kembali ke halaman awal tambahkan juga info terkini menarik dan penting seputar perjalanan kai terimakasih,0
6,1,seharusnya bisa ganti nomer hape agar keamanan data pengguna lebih terjamin kalo bisa ada notifikasi berkala menanyakan apakah ingin ganti email nomor hape password dll karna nomor hape saya yang lama sudah tidak aktif masa harus bikin akun baru biar bisa ganti nomor yang baru aktif satu akun untuk seterusnya jadi di database tidak numpuk datanya kan lebih hemat databasenya untuk lain saya tidak ada masalah lebih diperbaiki lagi ya sistemnya untuk kedepan sukses terus kai semangat,0
7,1,kenapa setelah di update malah gakeliatan daftar harganya ya padahal sebelumnya bisa untuk fitur location juga belum bisa di gunakan selalu tidak bisa tapi over all udh bagus sih makannya sy kasi bintangnya dulu,0
8,1,aplikasi terbaru dengan tambahan pemesanan tiket prameks force close di menu local train tepatnya saat input stasiun asal tujuan mohon pengembang aplikasi segera memperbaiki bug tsb terimakasih,0
9,1,maaf ini developernya niat ga buat aplikasi di versi sebelumnya untuk cek tiket beli masih bisa saya coba update lah buat cek tiket aja loading ada kali sejam sengaja saya diemin padahal pake wifi kantor yg saya juga pake buat kerja lancar jaya tolong dong developer kalau buat aplikasinya yg niat jgn terkesan asal punya aplikasi kalau seperti ini nanti pada pindah ke aplikasi lain yg jauh lebih cepat terima kasih,0
10,1,untuk pemesanan tiket lokal yang baru ka prameks tolong dit tingkatkan lagi saat pembentukan akun tidak dapat mengubah no telepon dan yang paling utama tolong pembayaran di perbanyak lagi bisa lewat transfer atm biasa juga pembayaran hanya menggunakan tcash unikqu mandiri e cash dan itu tergantung pada nomor yg sudah terdaftar di akun sedangkan no hp di akun tdk dapat diubah,0
11,1,tolong kepada develop aplikasi pt kai agar meningkatkan system apk nya karena saya rugi hari ini td pagi saya issued kereta lokal setelah tiba di stasiun aplikasi tidak respon server error saya harus membeli lagi tiket karena di kejar waktu jam kerja aplikasi kai access setelah di upsate jadi sering hang tolong di maksimalkan systemnya aplikasi ini bermanfaat sekali khusus nya buat saya,0
12,1,makin kesini kok semakin lemot ya tiap kali keluar aplikasi data penumpang selalu hilang kereta tambahan tidak muncul aplikasi sebelah aja muncul lo tingkat kan lagi ya,0
13,1,bagus sih tapi pembayaran nya cuma metode pembayaran itupun caranya masih bingung gimna make nya tambah lagi metode pembayarannya bank atau pulsa biar gak susah dan bingung,0
14,1,penyebab jadi aplikasi ini kai access linkaja sedang dalam tahap pengembangan sistem jadi membuat apk ini kurang sinkron trhadap hp tertentu lebih baik untuk yang sering close pada sesi pembayarn disarankan menggunakan hp yg speknya lumayan tinggi dengan pc yg di pasang dengn apk bluestack caranya pinjam hp yg speknya lumayan lalu masuk apk kai access ganti akunnya dengn email mu lalu ketika sesi pay juga masukan no pin dri akun linkaja milikmu insha alloh berhasil pngalaman,0
15,2,user experience nya tolong lebih ditingkatkan masih banyak tombol yang susah diklik contohnya saat memilih kursi kotaknya susah diklik untuk loading aplikasi sudah lebih enteng hanya masalah tombol tolong diperbaiki lagi terima kasih,1
16,1,aku gak tau ini yang lagi trouble server aplikasi link aja atau kai access aku udah pesan ka lokal untuk yang kelima kalinya berhasil di proses namun saat di cek lagi di my trip tiba pesanan tiketku ilang gitu aja ini sangat membingung kan sih customer servicenya juga gak tanggap banget gimana nih customer dirugakn sekali ini,0
